SearchBayesianSkopt: New best config found. Config 0: {'norm': 2.0, 'alpha': 0.9697616328939683} - results: PRECISION: 0.0712958, PRECISION_RECALL_MIN_DEN: 0.0973997, RECALL: 0.0845270, MAP: 0.0367832, MAP_MIN_DEN: 0.0491973, MRR: 0.2216942, NDCG: 0.1011286, F1: 0.0773496, HIT_RATE: 0.4240525, ARHR_ALL_HITS: 0.2822610, NOVELTY: 0.0040675, AVERAGE_POPULARITY: 0.2651647, DIVERSITY_MEAN_INTER_LIST: 0.8826929, DIVERSITY_HERFINDAHL: 0.9882672, COVERAGE_ITEM: 0.1047048, COVERAGE_ITEM_HIT: 0.0612070, ITEMS_IN_GT: 0.9983270, COVERAGE_USER: 0.9925292, COVERAGE_USER_HIT: 0.4208845, USERS_IN_GT: 0.9925292, DIVERSITY_GINI: 0.0116243, SHANNON_ENTROPY: 8.0413256, RATIO_DIVERSITY_HERFINDAHL: 0.9885935, RATIO_DIVERSITY_GINI: 0.0229104, RATIO_SHANNON_ENTROPY: 0.5959708, RATIO_AVERAGE_POPULARITY: 5.2537117, RATIO_NOVELTY: 0.2472841, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'norm': 2.0, 'alpha': 0.9518691347644935} - results: PRECISION: 0.0711869, PRECISION_RECALL_MIN_DEN: 0.0973360, RECALL: 0.0845031, MAP: 0.0366742, MAP_MIN_DEN: 0.0490918, MRR: 0.2212287, NDCG: 0.1009732, F1: 0.0772755, HIT_RATE: 0.4239799, ARHR_ALL_HITS: 0.2816303, NOVELTY: 0.0040629, AVERAGE_POPULARITY: 0.2662002, DIVERSITY_MEAN_INTER_LIST: 0.8815912, DIVERSITY_HERFINDAHL: 0.9881570, COVERAGE_ITEM: 0.1038479, COVERAGE_ITEM_HIT: 0.0603909, ITEMS_IN_GT: 0.9983270, COVERAGE_USER: 0.9925292, COVERAGE_USER_HIT: 0.4208124, USERS_IN_GT: 0.9925292, DIVERSITY_GINI: 0.0114147, SHANNON_ENTROPY: 8.0180691, RATIO_DIVERSITY_HERFINDAHL: 0.9884833, RATIO_DIVERSITY_GINI: 0.0224972, RATIO_SHANNON_ENTROPY: 0.5942472, RATIO_AVERAGE_POPULARITY: 5.2742290, RATIO_NOVELTY: 0.2470003, 
SearchBayesianSkopt: New best config found. Config 2: {'norm': 2.0, 'alpha': 0.9713466691455982} - results: PRECISION: 0.0713079, PRECISION_RECALL_MIN_DEN: 0.0974187, RECALL: 0.0845439, MAP: 0.0367861, MAP_MIN_DEN: 0.0491993, MRR: 0.2217422, NDCG: 0.1011455, F1: 0.0773639, HIT_RATE: 0.4242945, ARHR_ALL_HITS: 0.2823147, NOVELTY: 0.0040679, AVERAGE_POPULARITY: 0.2650854, DIVERSITY_MEAN_INTER_LIST: 0.8827771, DIVERSITY_HERFINDAHL: 0.9882756, COVERAGE_ITEM: 0.1047864, COVERAGE_ITEM_HIT: 0.0612886, ITEMS_IN_GT: 0.9983270, COVERAGE_USER: 0.9925292, COVERAGE_USER_HIT: 0.4211247, USERS_IN_GT: 0.9925292, DIVERSITY_GINI: 0.0116420, SHANNON_ENTROPY: 8.0432569, RATIO_DIVERSITY_HERFINDAHL: 0.9886019, RATIO_DIVERSITY_GINI: 0.0229452, RATIO_SHANNON_ENTROPY: 0.5961139, RATIO_AVERAGE_POPULARITY: 5.2521409, RATIO_NOVELTY: 0.2473075, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'norm': 2.0, 'alpha': 0.9316778455537373} - results: PRECISION: 0.0710925, PRECISION_RECALL_MIN_DEN: 0.0973029, RECALL: 0.0845303, MAP: 0.0366033, MAP_MIN_DEN: 0.0490505, MRR: 0.2212871, NDCG: 0.1009264, F1: 0.0772312, HIT_RATE: 0.4240525, ARHR_ALL_HITS: 0.2814371, NOVELTY: 0.0040587, AVERAGE_POPULARITY: 0.2669792, DIVERSITY_MEAN_INTER_LIST: 0.8807669, DIVERSITY_HERFINDAHL: 0.9880746, COVERAGE_ITEM: 0.1031134, COVERAGE_ITEM_HIT: 0.0597380, ITEMS_IN_GT: 0.9983270, COVERAGE_USER: 0.9925292, COVERAGE_USER_HIT: 0.4208845, USERS_IN_GT: 0.9925292, DIVERSITY_GINI: 0.0112155, SHANNON_ENTROPY: 7.9964548, RATIO_DIVERSITY_HERFINDAHL: 0.9884009, RATIO_DIVERSITY_GINI: 0.0221047, RATIO_SHANNON_ENTROPY: 0.5926453, RATIO_AVERAGE_POPULARITY: 5.2896630, RATIO_NOVELTY: 0.2467458, 
SearchBayesianSkopt: New best config found. Config 4: {'norm': 1.0, 'alpha': 0.9963895304902706} - results: PRECISION: 0.0714676, PRECISION_RECALL_MIN_DEN: 0.0976138, RECALL: 0.0846669, MAP: 0.0368458, MAP_MIN_DEN: 0.0492326, MRR: 0.2216459, NDCG: 0.1012428, F1: 0.0775094, HIT_RATE: 0.4252142, ARHR_ALL_HITS: 0.2824854, NOVELTY: 0.0040757, AVERAGE_POPULARITY: 0.2632977, DIVERSITY_MEAN_INTER_LIST: 0.8847068, DIVERSITY_HERFINDAHL: 0.9884685, COVERAGE_ITEM: 0.1062962, COVERAGE_ITEM_HIT: 0.0625536, ITEMS_IN_GT: 0.9983270, COVERAGE_USER: 0.9925292, COVERAGE_USER_HIT: 0.4220375, USERS_IN_GT: 0.9925292, DIVERSITY_GINI: 0.0119874, SHANNON_ENTROPY: 8.0818776, RATIO_DIVERSITY_HERFINDAHL: 0.9887950, RATIO_DIVERSITY_GINI: 0.0236261, RATIO_SHANNON_ENTROPY: 0.5989762, RATIO_AVERAGE_POPULARITY: 5.2167225, RATIO_NOVELTY: 0.2477771, 
SearchBayesianSkopt: New best config found. Config 5: {'norm': 1.0, 'alpha': 0.991715033538599} - results: PRECISION: 0.0714725, PRECISION_RECALL_MIN_DEN: 0.0976538, RECALL: 0.0847184, MAP: 0.0368521, MAP_MIN_DEN: 0.0492492, MRR: 0.2217778, NDCG: 0.1012797, F1: 0.0775338, HIT_RATE: 0.4253594, ARHR_ALL_HITS: 0.2825986, NOVELTY: 0.0040749, AVERAGE_POPULARITY: 0.2634677, DIVERSITY_MEAN_INTER_LIST: 0.8845222, DIVERSITY_HERFINDAHL: 0.9884501, COVERAGE_ITEM: 0.1060513, COVERAGE_ITEM_HIT: 0.0624311, ITEMS_IN_GT: 0.9983270, COVERAGE_USER: 0.9925292, COVERAGE_USER_HIT: 0.4221817, USERS_IN_GT: 0.9925292, DIVERSITY_GINI: 0.0119489, SHANNON_ENTROPY: 8.0779113, RATIO_DIVERSITY_HERFINDAHL: 0.9887765, RATIO_DIVERSITY_GINI: 0.0235501, RATIO_SHANNON_ENTROPY: 0.5986823, RATIO_AVERAGE_POPULARITY: 5.2200905, RATIO_NOVELTY: 0.2477332, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'norm': 2.0, 'alpha': 0.9218261564052835} - results: PRECISION: 0.0710102, PRECISION_RECALL_MIN_DEN: 0.0971994, RECALL: 0.0844531, MAP: 0.0365409, MAP_MIN_DEN: 0.0489670, MRR: 0.2211452, NDCG: 0.1008058, F1: 0.0771504, HIT_RATE: 0.4239315, ARHR_ALL_HITS: 0.2810902, NOVELTY: 0.0040569, AVERAGE_POPULARITY: 0.2673138, DIVERSITY_MEAN_INTER_LIST: 0.8804000, DIVERSITY_HERFINDAHL: 0.9880379, COVERAGE_ITEM: 0.1028278, COVERAGE_ITEM_HIT: 0.0594524, ITEMS_IN_GT: 0.9983270, COVERAGE_USER: 0.9925292, COVERAGE_USER_HIT: 0.4207644, USERS_IN_GT: 0.9925292, DIVERSITY_GINI: 0.0111326, SHANNON_ENTROPY: 7.9871878, RATIO_DIVERSITY_HERFINDAHL: 0.9883642, RATIO_DIVERSITY_GINI: 0.0219413, RATIO_SHANNON_ENTROPY: 0.5919584, RATIO_AVERAGE_POPULARITY: 5.2962920, RATIO_NOVELTY: 0.2466368, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'norm': 2.0, 'alpha': 0.9841307498317478} - results: PRECISION: 0.0714168, PRECISION_RECALL_MIN_DEN: 0.0976138, RECALL: 0.0846954, MAP: 0.0368211, MAP_MIN_DEN: 0.0492434, MRR: 0.2217676, NDCG: 0.1012486, F1: 0.0774914, HIT_RATE: 0.4249238, ARHR_ALL_HITS: 0.2824699, NOVELTY: 0.0040715, AVERAGE_POPULARITY: 0.2642797, DIVERSITY_MEAN_INTER_LIST: 0.8836424, DIVERSITY_HERFINDAHL: 0.9883621, COVERAGE_ITEM: 0.1054393, COVERAGE_ITEM_HIT: 0.0618191, ITEMS_IN_GT: 0.9983270, COVERAGE_USER: 0.9925292, COVERAGE_USER_HIT: 0.4217493, USERS_IN_GT: 0.9925292, DIVERSITY_GINI: 0.0117957, SHANNON_ENTROPY: 8.0607993, RATIO_DIVERSITY_HERFINDAHL: 0.9886885, RATIO_DIVERSITY_GINI: 0.0232483, RATIO_SHANNON_ENTROPY: 0.5974140, RATIO_AVERAGE_POPULARITY: 5.2361782, RATIO_NOVELTY: 0.2475255, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'norm': 2.0, 'alpha': 0.9265917291915475} - results: PRECISION: 0.0710320, PRECISION_RECALL_MIN_DEN: 0.0972123, RECALL: 0.0844499, MAP: 0.0365678, MAP_MIN_DEN: 0.0489992, MRR: 0.2212227, NDCG: 0.1008472, F1: 0.0771620, HIT_RATE: 0.4239315, ARHR_ALL_HITS: 0.2812619, NOVELTY: 0.0040578, AVERAGE_POPULARITY: 0.2671540, DIVERSITY_MEAN_INTER_LIST: 0.8805702, DIVERSITY_HERFINDAHL: 0.9880549, COVERAGE_ITEM: 0.1029502, COVERAGE_ITEM_HIT: 0.0595340, ITEMS_IN_GT: 0.9983270, COVERAGE_USER: 0.9925292, COVERAGE_USER_HIT: 0.4207644, USERS_IN_GT: 0.9925292, DIVERSITY_GINI: 0.0111743, SHANNON_ENTROPY: 7.9919329, RATIO_DIVERSITY_HERFINDAHL: 0.9883812, RATIO_DIVERSITY_GINI: 0.0220235, RATIO_SHANNON_ENTROPY: 0.5923101, RATIO_AVERAGE_POPULARITY: 5.2931275, RATIO_NOVELTY: 0.2466914, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'norm': inf, 'alpha': 0.9681975139570564} - results: PRECISION: 0.0711143, PRECISION_RECALL_MIN_DEN: 0.0972895, RECALL: 0.0845103, MAP: 0.0366014, MAP_MIN_DEN: 0.0490336, MRR: 0.2211632, NDCG: 0.1009053, F1: 0.0772357, HIT_RATE: 0.4242945, ARHR_ALL_HITS: 0.2813443, NOVELTY: 0.0040592, AVERAGE_POPULARITY: 0.2668585, DIVERSITY_MEAN_INTER_LIST: 0.8808910, DIVERSITY_HERFINDAHL: 0.9880870, COVERAGE_ITEM: 0.1034806, COVERAGE_ITEM_HIT: 0.0597380, ITEMS_IN_GT: 0.9983270, COVERAGE_USER: 0.9925292, COVERAGE_USER_HIT: 0.4211247, USERS_IN_GT: 0.9925292, DIVERSITY_GINI: 0.0112393, SHANNON_ENTROPY: 7.9991197, RATIO_DIVERSITY_HERFINDAHL: 0.9884133, RATIO_DIVERSITY_GINI: 0.0221516, RATIO_SHANNON_ENTROPY: 0.5928428, RATIO_AVERAGE_POPULARITY: 5.2872728, RATIO_NOVELTY: 0.2467777, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'norm': 2.0, 'alpha': 0.980317315182466} - results: PRECISION: 0.0713660, PRECISION_RECALL_MIN_DEN: 0.0975432, RECALL: 0.0846546, MAP: 0.0367869, MAP_MIN_DEN: 0.0492011, MRR: 0.2216472, NDCG: 0.1011778, F1: 0.0774444, HIT_RATE: 0.4247543, ARHR_ALL_HITS: 0.2822550, NOVELTY: 0.0040703, AVERAGE_POPULARITY: 0.2645542, DIVERSITY_MEAN_INTER_LIST: 0.8833432, DIVERSITY_HERFINDAHL: 0.9883322, COVERAGE_ITEM: 0.1050720, COVERAGE_ITEM_HIT: 0.0615334, ITEMS_IN_GT: 0.9983270, COVERAGE_USER: 0.9925292, COVERAGE_USER_HIT: 0.4215811, USERS_IN_GT: 0.9925292, DIVERSITY_GINI: 0.0117448, SHANNON_ENTROPY: 8.0550669, RATIO_DIVERSITY_HERFINDAHL: 0.9886586, RATIO_DIVERSITY_GINI: 0.0231480, RATIO_SHANNON_ENTROPY: 0.5969892, RATIO_AVERAGE_POPULARITY: 5.2416173, RATIO_NOVELTY: 0.2474538, 
