SearchBayesianSkopt: Resuming 'RP3betaRecommender' Failed, no such file exists.
SearchBayesianSkopt: New best config found. Config 0: {'topK': 831, 'alpha': 1.9752706451994033, 'beta': 0.38466988956819004, 'normalize_similarity': True} - results: PRECISION: 0.0512794, PRECISION_RECALL_MIN_DEN: 0.0669464, RECALL: 0.0571118, MAP: 0.0247456, MAP_MIN_DEN: 0.0318904, MRR: 0.1543031, NDCG: 0.0672791, F1: 0.0540387, HIT_RATE: 0.3200872, ARHR_ALL_HITS: 0.1937804, NOVELTY: 0.0050827, AVERAGE_POPULARITY: 0.1733829, DIVERSITY_MEAN_INTER_LIST: 0.9394625, DIVERSITY_HERFINDAHL: 0.9939440, COVERAGE_ITEM: 0.6705023, COVERAGE_ITEM_HIT: 0.0328070, ITEMS_IN_GT: 0.9982454, COVERAGE_USER: 0.9913762, COVERAGE_USER_HIT: 0.3173269, USERS_IN_GT: 0.9913762, DIVERSITY_GINI: 0.1319108, SHANNON_ENTROPY: 10.7265218, RATIO_DIVERSITY_HERFINDAHL: 0.9942500, RATIO_DIVERSITY_GINI: 0.2506210, RATIO_SHANNON_ENTROPY: 0.7911822, RATIO_AVERAGE_POPULARITY: 3.5764560, RATIO_NOVELTY: 0.3101445, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 627, 'alpha': 0.21890699171968447, 'beta': 1.1863812896562331, 'normalize_similarity': False} - results: PRECISION: 0.0103659, PRECISION_RECALL_MIN_DEN: 0.0132913, RECALL: 0.0109994, MAP: 0.0043963, MAP_MIN_DEN: 0.0056971, MRR: 0.0330839, NDCG: 0.0120799, F1: 0.0106733, HIT_RATE: 0.0791858, ARHR_ALL_HITS: 0.0379519, NOVELTY: 0.0063631, AVERAGE_POPULARITY: 0.0049751, DIVERSITY_MEAN_INTER_LIST: 0.9903522, DIVERSITY_HERFINDAHL: 0.9990328, COVERAGE_ITEM: 0.5794671, COVERAGE_ITEM_HIT: 0.0529645, ITEMS_IN_GT: 0.9982454, COVERAGE_USER: 0.9913762, COVERAGE_USER_HIT: 0.0785030, USERS_IN_GT: 0.9913762, DIVERSITY_GINI: 0.1250695, SHANNON_ENTROPY: 11.6796840, RATIO_DIVERSITY_HERFINDAHL: 0.9993404, RATIO_DIVERSITY_GINI: 0.2376229, RATIO_SHANNON_ENTROPY: 0.8614869, RATIO_AVERAGE_POPULARITY: 0.1026249, RATIO_NOVELTY: 0.3882704, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 855, 'alpha': 0.7072306731006096, 'beta': 0.746517709192693, 'normalize_similarity': True} - results: PRECISION: 0.0529586, PRECISION_RECALL_MIN_DEN: 0.0686521, RECALL: 0.0583060, MAP: 0.0259671, MAP_MIN_DEN: 0.0331120, MRR: 0.1581358, NDCG: 0.0680071, F1: 0.0555038, HIT_RATE: 0.3229222, ARHR_ALL_HITS: 0.2006145, NOVELTY: 0.0053708, AVERAGE_POPULARITY: 0.0728217, DIVERSITY_MEAN_INTER_LIST: 0.9880779, DIVERSITY_HERFINDAHL: 0.9988054, COVERAGE_ITEM: 0.8763211, COVERAGE_ITEM_HIT: 0.0754070, ITEMS_IN_GT: 0.9982454, COVERAGE_USER: 0.9913762, COVERAGE_USER_HIT: 0.3201374, USERS_IN_GT: 0.9913762, DIVERSITY_GINI: 0.2417419, SHANNON_ENTROPY: 12.1061090, RATIO_DIVERSITY_HERFINDAHL: 0.9991129, RATIO_DIVERSITY_GINI: 0.4592922, RATIO_SHANNON_ENTROPY: 0.8929397, RATIO_AVERAGE_POPULARITY: 1.5021295, RATIO_NOVELTY: 0.3277188, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 394, 'alpha': 1.5567809440919842, 'beta': 0.6038995943412219, 'normalize_similarity': True} - results: PRECISION: 0.0562782, PRECISION_RECALL_MIN_DEN: 0.0736397, RECALL: 0.0628797, MAP: 0.0282727, MAP_MIN_DEN: 0.0363284, MRR: 0.1711512, NDCG: 0.0750734, F1: 0.0593961, HIT_RATE: 0.3395202, ARHR_ALL_HITS: 0.2178993, NOVELTY: 0.0051462, AVERAGE_POPULARITY: 0.1428005, DIVERSITY_MEAN_INTER_LIST: 0.9634918, DIVERSITY_HERFINDAHL: 0.9963468, COVERAGE_ITEM: 0.7274656, COVERAGE_ITEM_HIT: 0.0466397, ITEMS_IN_GT: 0.9982454, COVERAGE_USER: 0.9913762, COVERAGE_USER_HIT: 0.3365923, USERS_IN_GT: 0.9913762, DIVERSITY_GINI: 0.1504861, SHANNON_ENTROPY: 11.1209376, RATIO_DIVERSITY_HERFINDAHL: 0.9966536, RATIO_DIVERSITY_GINI: 0.2859128, RATIO_SHANNON_ENTROPY: 0.8202740, RATIO_AVERAGE_POPULARITY: 2.9456177, RATIO_NOVELTY: 0.3140183, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 824, 'alpha': 0.7978895835184694, 'beta': 1.9897199471304414, 'normalize_similarity': True} - results: PRECISION: 0.0005743, PRECISION_RECALL_MIN_DEN: 0.0006905, RECALL: 0.0004694, MAP: 0.0001958, MAP_MIN_DEN: 0.0002350, MRR: 0.0015844, NDCG: 0.0005145, F1: 0.0005166, HIT_RATE: 0.0048219, ARHR_ALL_HITS: 0.0017443, NOVELTY: 0.0066337, AVERAGE_POPULARITY: 0.0022250, DIVERSITY_MEAN_INTER_LIST: 0.9848001, DIVERSITY_HERFINDAHL: 0.9984776, COVERAGE_ITEM: 0.3339454, COVERAGE_ITEM_HIT: 0.0075489, ITEMS_IN_GT: 0.9982454, COVERAGE_USER: 0.9913762, COVERAGE_USER_HIT: 0.0047803, USERS_IN_GT: 0.9913762, DIVERSITY_GINI: 0.0598524, SHANNON_ENTROPY: 10.6773521, RATIO_DIVERSITY_HERFINDAHL: 0.9987850, RATIO_DIVERSITY_GINI: 0.1137152, RATIO_SHANNON_ENTROPY: 0.7875554, RATIO_AVERAGE_POPULARITY: 0.0458959, RATIO_NOVELTY: 0.4047818, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 666, 'alpha': 0.9428647911002745, 'beta': 1.6803270324107147, 'normalize_similarity': True} - results: PRECISION: 0.0009474, PRECISION_RECALL_MIN_DEN: 0.0011304, RECALL: 0.0008044, MAP: 0.0003369, MAP_MIN_DEN: 0.0003907, MRR: 0.0026645, NDCG: 0.0008815, F1: 0.0008701, HIT_RATE: 0.0077054, ARHR_ALL_HITS: 0.0029710, NOVELTY: 0.0065929, AVERAGE_POPULARITY: 0.0023947, DIVERSITY_MEAN_INTER_LIST: 0.9912635, DIVERSITY_HERFINDAHL: 0.9991239, COVERAGE_ITEM: 0.4470967, COVERAGE_ITEM_HIT: 0.0110989, ITEMS_IN_GT: 0.9982454, COVERAGE_USER: 0.9913762, COVERAGE_USER_HIT: 0.0076389, USERS_IN_GT: 0.9913762, DIVERSITY_GINI: 0.0969187, SHANNON_ENTROPY: 11.4195150, RATIO_DIVERSITY_HERFINDAHL: 0.9994316, RATIO_DIVERSITY_GINI: 0.1841385, RATIO_SHANNON_ENTROPY: 0.8422969, RATIO_AVERAGE_POPULARITY: 0.0493958, RATIO_NOVELTY: 0.4022922, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 298, 'alpha': 0.4886500199993532, 'beta': 0.8577693636256345, 'normalize_similarity': True} - results: PRECISION: 0.0406130, PRECISION_RECALL_MIN_DEN: 0.0533515, RECALL: 0.0454988, MAP: 0.0187236, MAP_MIN_DEN: 0.0243687, MRR: 0.1229990, NDCG: 0.0514427, F1: 0.0429173, HIT_RATE: 0.2697601, ARHR_ALL_HITS: 0.1503361, NOVELTY: 0.0054737, AVERAGE_POPULARITY: 0.0408508, DIVERSITY_MEAN_INTER_LIST: 0.9896648, DIVERSITY_HERFINDAHL: 0.9989641, COVERAGE_ITEM: 0.8124209, COVERAGE_ITEM_HIT: 0.0845881, ITEMS_IN_GT: 0.9982454, COVERAGE_USER: 0.9913762, COVERAGE_USER_HIT: 0.2674338, USERS_IN_GT: 0.9913762, DIVERSITY_GINI: 0.1877409, SHANNON_ENTROPY: 11.9669860, RATIO_DIVERSITY_HERFINDAHL: 0.9992716, RATIO_DIVERSITY_GINI: 0.3566942, RATIO_SHANNON_ENTROPY: 0.8826781, RATIO_AVERAGE_POPULARITY: 0.8426495, RATIO_NOVELTY: 0.3339981, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 447, 'alpha': 0.6660476872828601, 'beta': 1.699757384174043, 'normalize_similarity': True} - results: PRECISION: 0.0012770, PRECISION_RECALL_MIN_DEN: 0.0015790, RECALL: 0.0011875, MAP: 0.0004697, MAP_MIN_DEN: 0.0005739, MRR: 0.0037568, NDCG: 0.0013170, F1: 0.0012306, HIT_RATE: 0.0103707, ARHR_ALL_HITS: 0.0041630, NOVELTY: 0.0066289, AVERAGE_POPULARITY: 0.0022617, DIVERSITY_MEAN_INTER_LIST: 0.9821443, DIVERSITY_HERFINDAHL: 0.9982120, COVERAGE_ITEM: 0.3994369, COVERAGE_ITEM_HIT: 0.0137104, ITEMS_IN_GT: 0.9982454, COVERAGE_USER: 0.9913762, COVERAGE_USER_HIT: 0.0102813, USERS_IN_GT: 0.9913762, DIVERSITY_GINI: 0.0698022, SHANNON_ENTROPY: 10.7772756, RATIO_DIVERSITY_HERFINDAHL: 0.9985194, RATIO_DIVERSITY_GINI: 0.1326191, RATIO_SHANNON_ENTROPY: 0.7949257, RATIO_AVERAGE_POPULARITY: 0.0466541, RATIO_NOVELTY: 0.4044914, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 202, 'alpha': 1.9307551034617916, 'beta': 0.6729866125436209, 'normalize_similarity': False} - results: PRECISION: 0.0001502, PRECISION_RECALL_MIN_DEN: 0.0002124, RECALL: 0.0001820, MAP: 0.0000410, MAP_MIN_DEN: 0.0000577, MRR: 0.0004095, NDCG: 0.0001379, F1: 0.0001646, HIT_RATE: 0.0015023, ARHR_ALL_HITS: 0.0004095, NOVELTY: 0.0063783, AVERAGE_POPULARITY: 0.0034806, DIVERSITY_MEAN_INTER_LIST: 0.9985834, DIVERSITY_HERFINDAHL: 0.9998559, COVERAGE_ITEM: 0.7172645, COVERAGE_ITEM_HIT: 0.0024891, ITEMS_IN_GT: 0.9982454, COVERAGE_USER: 0.9913762, COVERAGE_USER_HIT: 0.0014893, USERS_IN_GT: 0.9913762, DIVERSITY_GINI: 0.2949549, SHANNON_ENTROPY: 13.2345920, RATIO_DIVERSITY_HERFINDAHL: 1.0001638, RATIO_DIVERSITY_GINI: 0.5603929, RATIO_SHANNON_ENTROPY: 0.9761760, RATIO_AVERAGE_POPULARITY: 0.0717958, RATIO_NOVELTY: 0.3891980, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 261, 'alpha': 1.1808747229663636, 'beta': 1.3274947020541092, 'normalize_similarity': True} - results: PRECISION: 0.0029295, PRECISION_RECALL_MIN_DEN: 0.0036830, RECALL: 0.0030352, MAP: 0.0011825, MAP_MIN_DEN: 0.0014856, MRR: 0.0091094, NDCG: 0.0033793, F1: 0.0029814, HIT_RATE: 0.0234068, ARHR_ALL_HITS: 0.0103037, NOVELTY: 0.0065317, AVERAGE_POPULARITY: 0.0028112, DIVERSITY_MEAN_INTER_LIST: 0.9947230, DIVERSITY_HERFINDAHL: 0.9994699, COVERAGE_ITEM: 0.5524544, COVERAGE_ITEM_HIT: 0.0185661, ITEMS_IN_GT: 0.9982454, COVERAGE_USER: 0.9913762, COVERAGE_USER_HIT: 0.0232050, USERS_IN_GT: 0.9913762, DIVERSITY_GINI: 0.1415213, SHANNON_ENTROPY: 12.0175124, RATIO_DIVERSITY_HERFINDAHL: 0.9997776, RATIO_DIVERSITY_GINI: 0.2688803, RATIO_SHANNON_ENTROPY: 0.8864049, RATIO_AVERAGE_POPULARITY: 0.0579889, RATIO_NOVELTY: 0.3985578, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 70, 'alpha': 0.507942454600771, 'beta': 1.9058288929148706, 'normalize_similarity': True} - results: PRECISION: 0.0020863, PRECISION_RECALL_MIN_DEN: 0.0025298, RECALL: 0.0019418, MAP: 0.0009417, MAP_MIN_DEN: 0.0011416, MRR: 0.0080132, NDCG: 0.0025103, F1: 0.0020114, HIT_RATE: 0.0179549, ARHR_ALL_HITS: 0.0086635, NOVELTY: 0.0066053, AVERAGE_POPULARITY: 0.0023731, DIVERSITY_MEAN_INTER_LIST: 0.9860963, DIVERSITY_HERFINDAHL: 0.9986072, COVERAGE_ITEM: 0.3809116, COVERAGE_ITEM_HIT: 0.0168931, ITEMS_IN_GT: 0.9982454, COVERAGE_USER: 0.9913762, COVERAGE_USER_HIT: 0.0178001, USERS_IN_GT: 0.9913762, DIVERSITY_GINI: 0.0810251, SHANNON_ENTROPY: 10.9820068, RATIO_DIVERSITY_HERFINDAHL: 0.9989147, RATIO_DIVERSITY_GINI: 0.1539419, RATIO_SHANNON_ENTROPY: 0.8100266, RATIO_AVERAGE_POPULARITY: 0.0489507, RATIO_NOVELTY: 0.4030472, 
